Titre de l'avis,Avis,Date_str,Date,Avis_clean,Langue,platform,brand,len
Très grande qualité de coton,"Très grande qualité de coton, coupe impeccable ! Sweat bien chaud pour l'hiver.",6 nov. 2025,2025-11-06,"Très grande qualité de coton, coupe impeccable ! Sweat bien chaud pour l'hiver.",fr,Trustpilot,Carhartt WIP,79
Un service clientèle génial !,Un service clientèle génial ! Je m’étais totalement trompée dans mes coordonnées et Nadia a quand même réussi à retrouver ma commande après une semaine de recherche ! L’échange était super agréable (et bien drôle) merci pour votre aide incroyable !,29 oct. 2025,2025-10-29,Un service clientèle génial ! Je m’étais totalement trompée dans mes coordonnées et Nadia a quand même réussi à retrouver ma commande après une semaine de recherche ! L’échange était super agréable (et bien drôle) merci pour votre aide incroyable !,fr,Trustpilot,Carhartt WIP,248
Un échange satisfaisant avec Nadia,Un échange satisfaisant avec Nadia. Merci.,23 oct. 2025,2025-10-23,Un échange satisfaisant avec Nadia. Merci.,fr,Trustpilot,Carhartt WIP,42
Efficacité,La personne que j’ai contacté m’a répondu rapidement et de manière efficace,21 oct. 2025,2025-10-21,La personne que j’ai contacté m’a répondu rapidement et de manière efficace,fr,Trustpilot,Carhartt WIP,75
Demande de facture,Merci beaucoup pour notre réactivité et votre professionnalisme !! À très bientôt. Elie,17 oct. 2025,2025-10-17,Merci beaucoup pour notre réactivité et votre professionnalisme !! À très bientôt. Elie,fr,Trustpilot,Carhartt WIP,87
Juste parfait,Nadia a répondu à mes attentes. Très professionnelle elle a su me rassurer sur ma problématique.comlunication parfaite Merci,25 juil. 2025,2025-07-25,Nadia a répondu à mes attentes. Très professionnelle elle a su me rassurer sur ma problématique.comlunication parfaite Merci,fr,Trustpilot,Carhartt WIP,124
Merci infiniment à Nadia pour son aide…,Merci infiniment à Nadia pour son aide et réactivité !,21 juil. 2025,2025-07-21,Merci infiniment à Nadia pour son aide et réactivité !,fr,Trustpilot,Carhartt WIP,54
Très belle expérience achat rapide et…,Très belle expérience achat rapide et envoie plus que correct respect du délai de livraison au top je recommande,19 juil. 2025,2025-07-19,Très belle expérience achat rapide et envoie plus que correct respect du délai de livraison au top je recommande,fr,Trustpilot,Carhartt WIP,112
Excellents produits,Excellents produits : qualité - coupe - beaux coloris Promotions lors des soldes Livraison rapide,8 juil. 2025,2025-07-08,Excellents produits : qualité - coupe - beaux coloris Promotions lors des soldes Livraison rapide,fr,Trustpilot,Carhartt WIP,97
Ravie,Super promotion Article conforme Livraison rapide ..,5 juil. 2025,2025-07-05,Super promotion Article conforme Livraison rapide ..,fr,Trustpilot,Carhartt WIP,52
Commande fluide & reçue dans les temps…,commande fluide er reçu dans les temps grâce au transporteur DPD. Par contre la livraison en boutique serait un véritable plus 😉,13 juin 2025,2025-06-13,commande fluide er reçu dans les temps grâce au transporteur DPD. Par contre la livraison en boutique serait un véritable plus,fr,Trustpilot,Carhartt WIP,126
J'ai passé commande il y a 6 jours pas…,"J'ai passé commande il y a 6 jours pas de nouvelles, argent prélevé sur mon compte, payé par cb, je n'ai pas pu créé de compte avec email, je n'ai aucun moyen de suivre ma commande, comment faire?,??",20 mai 2025,2025-05-20,"J'ai passé commande il y a 6 jours pas de nouvelles, argent prélevé sur mon compte, payé par cb, je n'ai pas pu créé de compte avec email, je n'ai aucun moyen de suivre ma commande, comment faire?,??",fr,Trustpilot,Carhartt WIP,199
Livraison rapide,"Livraison rapide, produit de qualité. Que demande le peuple ?!",13 mai 2025,2025-05-13,"Livraison rapide, produit de qualité. Que demande le peuple ?!",fr,Trustpilot,Carhartt WIP,62
Parfait !,"Choix, envoie rapide et bien sure la qualité !",14 avr. 2025,2025-04-14,"Choix, envoie rapide et bien sure la qualité !",fr,Trustpilot,Carhartt WIP,46
Belles promotions,"Belles promotions, excellente qualité et envoi rapide. Merci ☺️",25 févr. 2025,2025-02-25,"Belles promotions, excellente qualité et envoi rapide. Merci ☺️",fr,Trustpilot,Carhartt WIP,63
10 jours pour recevoir une commande… T-shirt décousu...,"10 jours pour recevoir une commande pendant les soldes, un peu long en 2025 non ? Comme pour beaucoup d'autres, argent débité mais aucune confirmation, pas un mail, rien. Puis après réclamation, on me répond enfin qu'il est indiqué sur le site que les délais ne sont pas assurés pendant cette période, soit ! ... Mais que dire quand on achète ""plein pot"" (39€) un t-shirt ""Chase"" blanc fabriqué au Bangladesh, qui après 2 lavages se découd au niveau de la jonction du col de façon bien visible ?! ... Là par contre, personne ne vous répond après votre réclamation, donc on prend les clients pour des imbéciles et ce n'est pas tolérable, dommage mais Carhartt WIP c'est terminé pour ma part.",22 févr. 2025,2025-02-22,"10 jours pour recevoir une commande pendant les soldes, un peu long en 2025 non ? Comme pour beaucoup d'autres, argent débité mais aucune confirmation, pas un mail, rien. Puis après réclamation, on me répond enfin qu'il est indiqué sur le site que les délais ne sont pas assurés pendant cette période, soit ! ... Mais que dire quand on achète ""plein pot"" (39€) un t-shirt ""Chase"" blanc fabriqué au Bangladesh, qui après 2 lavages se découd au niveau de la jonction du col de façon bien visible ?! ... Là par contre, personne ne vous répond après votre réclamation, donc on prend les clients pour des imbéciles et ce n'est pas tolérable, dommage mais Carhartt WIP c'est terminé pour ma part.",fr,Trustpilot,Carhartt WIP,690
Impeccable !,"J'ai envoyé un mail à l'équipe pour connaître les dimensions de la dernière Detroit Jacket, j'ai eu une réponse rapidement. J'ai commandé la veste, qui est arrivé en 48h. Et cette veste est magnifique avec coupe parfaite, alors 5 étoiles !",20 févr. 2025,2025-02-20,"J'ai envoyé un mail à l'équipe pour connaître les dimensions de la dernière Detroit Jacket, j'ai eu une réponse rapidement. J'ai commandé la veste, qui est arrivé en 48h. Et cette veste est magnifique avec coupe parfaite, alors 5 étoiles !",fr,Trustpilot,Carhartt WIP,239
Un service client de grande qualité,"Mon colis a été visiblement volé par le livreur qui s'est permis de signer à ma place. J'ai eu très peu d'aide de la société de livraison, je n'ai pu compter que sur Carhartt et son service client qui m'a tenu informé et qui a suivi mon dossier jusqu'à sa résolution. Ils ont procédé au remboursement de mon colis.",11 févr. 2025,2025-02-11,"Mon colis a été visiblement volé par le livreur qui s'est permis de signer à ma place. J'ai eu très peu d'aide de la société de livraison, je n'ai pu compter que sur Carhartt et son service client qui m'a tenu informé et qui a suivi mon dossier jusqu'à sa résolution. Ils ont procédé au remboursement de mon colis.",fr,Trustpilot,Carhartt WIP,314
Produit acheté et encaissé le 08/01…,"Produit acheté et encaissé le 08/01 livraison par DPD et depuis toujours pas de produit livré,le 16/01le livreur m'envoie une photo d'une adresse qui n'est pas la mienne et soit disant le colis est livré, j'ai remplit un document indiquant sur l'honneur que je n'ai pas été livré et Carhartt fait trainer et ne veut pas me rembourser.",5 févr. 2025,2025-02-05,"Produit acheté et encaissé le 08/01 livraison par DPD et depuis toujours pas de produit livré,le 16/01le livreur m'envoie une photo d'une adresse qui n'est pas la mienne et soit disant le colis est livré, j'ai remplit un document indiquant sur l'honneur que je n'ai pas été livré et Carhartt fait trainer et ne veut pas me rembourser.",fr,Trustpilot,Carhartt WIP,334
,"Beaux produits , abordables et livraison rapide",2 févr. 2025,2025-02-02,"Beaux produits , abordables et livraison rapide",fr,Trustpilot,Carhartt WIP,47
,Site sérieux..... emballage top 👍 très belle transition,31 janv. 2025,2025-01-31,Site sérieux..... emballage top très belle transition,fr,Trustpilot,Carhartt WIP,53
,"Le colis est bien arrivé, en l’état, avec un peu de retard, mais tout s’est bien passé, les mails de suivis de colis ont tous étaient bien envoyé ! parfait merci je recommande",29 janv. 2025,2025-01-29,"Le colis est bien arrivé, en l’état, avec un peu de retard, mais tout s’est bien passé, les mails de suivis de colis ont tous étaient bien envoyé ! parfait merci je recommande",fr,Trustpilot,Carhartt WIP,175
,Merci à Nadia pour sa réactivité !,9 janv. 2025,2025-01-09,Merci à Nadia pour sa réactivité !,fr,Trustpilot,Carhartt WIP,34
,"J’ai eu un souci de livraison, tout s’est bien passé, super service et très rapide,j’ai été remboursé très rapidement. Très bon contact et très bon échange.
Je recommande à fond 👍👍👍👍👍",3 janv. 2025,2025-01-03,"J’ai eu un souci de livraison, tout s’est bien passé, super service et très rapide,j’ai été remboursé très rapidement. Très bon contact et très bon échange. Je recommande à fond",fr,Trustpilot,Carhartt WIP,177
,"Commande simple ,envoi rapide, SMS pour prévenir de l'horaire de livraison ( amplitude de 2 heures)Article conforme à la commande de très bonne qualité .Parfait",26 déc. 2024,2024-12-26,"Commande simple ,envoi rapide, SMS pour prévenir de l'horaire de livraison ( amplitude de 2 heures)Article conforme à la commande de très bonne qualité .Parfait",fr,Trustpilot,Carhartt WIP,160
,Superbe la communication et les échanges avec le service commercial. Ils ont été très réactifs face un problème que j'ai eu de livraison. Bravo !,17 déc. 2024,2024-12-17,Superbe la communication et les échanges avec le service commercial. Ils ont été très réactifs face un problème que j'ai eu de livraison. Bravo !,fr,Trustpilot,Carhartt WIP,145
,"Livraison rapide et en bon état 
Très satisfaite de ma commande",17 déc. 2024,2024-12-17,Livraison rapide et en bon état Très satisfaite de ma commande,fr,Trustpilot,Carhartt WIP,62
,"Une commande parfaite pour un cadeau de Noël parfait !
Un service commercial au top !
Merci Nadia",17 déc. 2024,2024-12-17,Une commande parfaite pour un cadeau de Noël parfait ! Un service commercial au top ! Merci Nadia,fr,Trustpilot,Carhartt WIP,97
,"Une marque qui se renouvelle, avec un design moderne et une qualité de produit très bonne - un bon rapport qualité prix - on ne se lasse jamais d un sweat Carhartt",16 déc. 2024,2024-12-16,"Une marque qui se renouvelle, avec un design moderne et une qualité de produit très bonne - un bon rapport qualité prix - on ne se lasse jamais d un sweat Carhartt",fr,Trustpilot,Carhartt WIP,163
,En tout point parfait de la commande sur site au produit a sa livraison,11 déc. 2024,2024-12-11,En tout point parfait de la commande sur site au produit a sa livraison,fr,Trustpilot,Carhartt WIP,71
,Marque de qualité..à prix raisonnables..merci,10 déc. 2024,2024-12-10,Marque de qualité..à prix raisonnables..merci,fr,Trustpilot,Carhartt WIP,45
,"Commande traitée rapidement,envoi soigné,article de qualité",8 déc. 2024,2024-12-08,"Commande traitée rapidement,envoi soigné,article de qualité",fr,Trustpilot,Carhartt WIP,59
SAV client,La pâte d'arrêt de fermeture éclair de mon pantalon neuf s'était cassé. J'ai contacté le service client qui a pris en charge la réparation par un couturier auprès de qui j'ai déposé mon pantalon. Tous nos échanges jusqu'au remboursement ce sont déroulés sans soucis. Et toujours avec un mail de suivi. C'est rassurant d'avoir un service aux client de cette qualité. Tout comme leur gamme de vêtements que j'apprécie fortement. Je recommande CARHARTT : absolument !,,,La pâte d'arrêt de fermeture éclair de mon pantalon neuf s'était cassé. J'ai contacté le service client qui a pris en charge la réparation par un couturier auprès de qui j'ai déposé mon pantalon. Tous nos échanges jusqu'au remboursement ce sont déroulés sans soucis. Et toujours avec un mail de suivi. C'est rassurant d'avoir un service aux client de cette qualité. Tout comme leur gamme de vêtements que j'apprécie fortement. Je recommande CARHARTT : absolument !,fr,Trustpilot,Carhartt WIP,464
